Date,PX_Last,30MA,Bank,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
10/5/2010,3.074,3.1919999999999997,0.25,0.9630325809999999,9.576,0,0.38715014600000003,0.0011490439999999999,0.069692749,0.014119661,0.042018214000000005,0.097367284,4.93586572,0.401628243,0.003768553,0.39424187899999996,0.40901460799999995,106.57358719999999,0.011342381,0.000303323,0.010747868,0.011936895,37.39372887
11/5/2010,3.062,3.1848,0.25,0.9614418490000001,9.5544,0,0.386369519,0.00115508,0.06921712599999999,0.014107773,0.041565891,0.096868361,4.906311304,0.401713518,0.0037920659999999998,0.394281069,0.409145966,105.9352767,0.011334466000000001,0.000303098,0.010740393999999999,0.011928538999999998,37.39535654
12/5/2010,3.071,3.178666667,0.25,0.9661283559999999,9.536,0,0.388671098,0.001152856,0.069359195,0.014105771000000001,0.041711883,0.09700650699999999,4.917079203,0.401704206,0.0037844379999999998,0.394286707,0.409121705,106.14631999999999,0.011335032,0.00030310900000000003,0.010740938,0.011929126000000002,37.39585753
13/5/2010,3.069,3.1726666669999997,0.25,0.967325068,9.517999999999999,0,0.389259663,0.0011528369999999999,0.069362347,0.014104406000000002,0.04171771,0.097006983,4.917778555,0.401693631,0.0037842220000000003,0.394276555,0.409110707,106.1495855,0.011335045,0.000303108,0.010740953000000001,0.011929137,37.39603932
14/5/2010,2.985,3.1638666669999997,0.25,0.943465801,9.4916,0,0.37759015100000004,0.001170503,0.06847632,0.014111435,0.040817907,0.09613473300000001,4.852541132,0.401588183,0.003836692,0.394068265,0.4091081,104.6704117,0.011346894,0.000303441,0.01075215,0.011941638999999999,37.39404679
17/5/2010,2.988,3.155066667,0.25,0.9470481340000001,9.4652,0,0.379333597,0.001169078,0.068533044,0.014092559,0.040911629,0.09615446,4.863065976000001,0.401491967,0.003831911,0.393981421,0.40900251299999996,104.775902,0.011343319,0.000303318,0.010748815,0.011937821999999999,37.39741293
18/5/2010,2.955,3.1439,0.25,0.9399153920000001,9.4317,0,0.375865235,0.001174724,0.068222605,0.014077207,0.040631278,0.09581393099999999,4.846316685,0.401295391,0.003848328,0.393752668,0.408838114,104.2778517,0.01134212,0.000303267,0.010747716000000001,0.011936523000000001,37.399784999999994
19/5/2010,2.8939999999999997,3.131233333,0.25,0.9242364559999999,9.3937,0,0.36828323,0.0011901680000000001,0.067464013,0.014065481000000001,0.039895671,0.095032356,4.796424181,0.401001038,0.0038934259999999997,0.393369924,0.408632152,102.99440240000001,0.011348618000000001,0.000303428,0.010753898999999999,0.011943337,37.40133349
20/5/2010,2.825,3.117166667,0.25,0.906271721,9.3515,0,0.359665946,0.001216479,0.066181888,0.014045483999999999,0.03865274,0.093711036,4.711969338,0.400690902,0.003972754,0.392904305,0.4084775,100.85973179999999,0.011359433,0.000303698,0.010764184,0.011954681000000002,37.40367603
21/5/2010,2.805,3.100266667,0.25,0.904760881,9.3008,0,0.358944604,0.001227642,0.065573243,0.013999178000000001,0.038134853999999996,0.093011631,4.684078165,0.400623214,0.004008591,0.392766375,0.40848005299999995,99.94114709,0.011357878,0.000303595,0.010762832,0.011952925,37.41127628
